"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Total population","Asian alone (percent)","Black alone (percent)","Hispanic alone (percent)","White alone (percent)","Non-white (percent)"
"2017-21","Citywide","1","0","-","-","New York City","New York City","8,736,047","14.1","21.1","28.9","31.9","68.1"
"2017-21","Borough","1","1","1","Bronx","Bronx","Bronx","1,468,262","3.7","28.5","56.1","9.0","91.0"
"2017-21","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","2,712,360","11.7","28.6","18.8","36.7","63.3"
"2017-21","Borough","3","1","3","Manhattan","Manhattan","Manhattan","1,669,127","11.8","12.1","25.6","46.7","53.3"
"2017-21","Borough","4","1","4","Queens","Queens","Queens","2,393,104","25.6","16.8","27.9","24.6","75.4"
"2017-21","Borough","5","1","5","Staten Island","Staten Island","Staten Island","493,194","10.4","9.1","18.4","59.6","40.4"
"2017-21","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","96,643","3.7","11.3","45.6","35.8","64.2"
"2017-21","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","212,012","3.5","56.6","27.7","8.2","91.8"
"2017-21","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","271,446","4.2","20.2","66.8","6.5","93.5"
"2017-21","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","308,864","8.4","19.4","53.3","15.6","84.4"
"2017-21","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","219,815","1.3","27.1","67.0","2.3","97.7"
"2017-21","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","220,270","1.0","33.5","61.0","2.4","97.6"
"2017-21","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","144,304","0.4","26.4","69.8","2.3","97.7"
"2017-21","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","105,594","5.2","3.4","21.9","64.9","35.1"
"2017-21","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","275,295","9.0","12.7","14.8","57.7","42.3"
"2017-21","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","354,128","2.7","57.5","14.1","20.9","79.1"
"2017-21","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","205,414","4.4","50.5","37.7","3.9","96.1"
"2017-21","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","122,085","35.9","3.0","41.9","17.2","82.8"
"2017-21","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","343,418","21.9","4.2","13.0","57.2","42.8"
"2017-21","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","304,594","3.0","64.5","10.2","17.9","82.1"
"2017-21","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","212,409","4.9","63.3","9.3","18.4","81.6"
"2017-21","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","213,566","28.1","2.2","16.7","49.9","50.1"
"2017-21","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","302,072","18.7","6.5","12.0","58.9","41.1"
"2017-21","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","231,221","5.5","24.1","39.6","27.3","72.7"
"2017-21","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","272,205","3.4","10.6","63.9","19.3","80.7"
"2017-21","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","183,460","5.7","47.1","25.3","17.9","82.1"
"2017-21","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","114,703","8.3","28.7","45.2","14.4","85.6"
"2017-21","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","232,499","10.1","5.8","15.1","64.9","35.1"
"2017-21","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","217,508","10.6","2.8","9.1","74.5","25.5"
"2017-21","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","161,322","15.5","5.2","16.6","58.5","41.5"
"2017-21","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","138,768","15.2","4.4","10.1","66.2","33.8"
"2017-21","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","81,647","18.0","2.5","8.5","67.5","32.5"
"2017-21","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","191,254","24.6","6.6","20.4","44.7","55.3"
"2017-21","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","64,008","21.9","5.9","8.7","58.6","41.4"
"2017-21","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","210,647","18.3","4.9","23.9","48.1","51.9"
"2017-21","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","472,404","26.6","4.6","51.6","15.0","85.0"
"2017-21","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","263,797","51.7","1.7","17.9","26.5","73.5"
"2017-21","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","95,662","44.1","2.8","13.9","36.7","63.3"
"2017-21","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","272,026","17.7","2.3","29.2","47.3","52.7"
"2017-21","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","101,723","37.0","7.7","17.8","34.4","65.6"
"2017-21","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","295,180","26.0","9.9","33.9","18.9","81.1"
"2017-21","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","327,755","18.9","48.6","17.2","6.9","93.1"
"2017-21","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","332,158","20.4","41.5","14.3","17.9","82.1"
"2017-21","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","135,797","3.9","34.4","23.3","34.7","65.3"
"2017-21","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","71,589","7.2","24.7","35.6","29.2","70.8"
"2017-21","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","127,116","12.9","16.2","20.9","47.6","52.4"
"2017-21","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","93,736","17.8","3.7","15.1","60.7","39.3"
"2017-21","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","200,753","6.4","1.5","12.3","77.6","22.4"
"2016-20","Citywide","1","0","-","-","New York City","New York City","8,379,552","14.1","21.4","28.9","31.9","68.1"
"2016-20","Borough","1","1","1","Bronx","Bronx","Bronx","1,427,056","3.7","28.8","56.0","9.0","91.0"
"2016-20","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","2,576,771","11.8","29.3","18.9","36.4","63.6"
"2016-20","Borough","3","1","3","Manhattan","Manhattan","Manhattan","1,629,153","12.0","12.2","25.7","46.8","53.2"
"2016-20","Borough","4","1","4","Queens","Queens","Queens","2,270,976","25.7","17.0","27.8","24.6","75.4"
"2016-20","Borough","5","1","5","Staten Island","Staten Island","Staten Island","475,596","9.9","9.2","18.4","60.2","39.8"
"2016-20","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","92,813","3.7","11.5","45.6","36.5","63.5"
"2016-20","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","206,360","4.1","57.7","26.7","8.1","91.9"
"2016-20","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","265,538","3.4","21.3","66.1","7.0","93.0"
"2016-20","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","303,526","8.7","19.2","53.4","15.5","84.5"
"2016-20","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","211,051","1.5","27.1","67.6","2.1","97.9"
"2016-20","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","214,281","1.0","32.4","62.3","2.4","97.6"
"2016-20","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","138,077","0.4","28.2","68.4","2.2","97.8"
"2016-20","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","141,271","6.0","3.8","21.7","64.7","35.3"
"2016-20","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","262,916","9.1","13.2","14.8","57.2","42.8"
"2016-20","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","335,884","2.9","58.3","13.9","20.7","79.3"
"2016-20","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","193,493","4.2","52.3","36.4","3.8","96.2"
"2016-20","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","117,158","35.4","3.0","42.8","17.0","83.0"
"2016-20","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","324,120","22.5","4.3","12.5","57.5","42.5"
"2016-20","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","292,416","2.7","66.0","10.6","17.2","82.8"
"2016-20","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","202,025","4.7","63.9","9.7","18.8","81.2"
"2016-20","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","202,618","28.7","2.2","16.5","49.8","50.2"
"2016-20","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","284,917","18.3","6.5","12.2","58.7","41.3"
"2016-20","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","219,953","5.3","24.9","40.9","25.9","74.1"
"2016-20","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","265,585","3.1","10.9","63.5","19.8","80.2"
"2016-20","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","180,928","5.6","47.9","25.4","17.5","82.5"
"2016-20","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","111,616","8.2","29.4","45.0","14.3","85.7"
"2016-20","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","221,608","10.0","5.5","15.7","65.8","34.2"
"2016-20","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","215,148","11.5","2.6","10.2","73.0","27.0"
"2016-20","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","157,141","16.6","4.7","15.9","59.3","40.7"
"2016-20","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","135,314","15.8","4.4","10.0","66.1","33.9"
"2016-20","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","80,762","16.4","2.2","7.7","70.0","30.0"
"2016-20","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","187,301","25.5","6.8","19.9","44.6","55.4"
"2016-20","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","62,559","21.0","5.2","10.3","58.9","41.1"
"2016-20","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","202,025","18.2","5.3","24.2","48.1","51.9"
"2016-20","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","449,376","26.8","4.7","51.2","15.2","84.8"
"2016-20","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","253,562","52.4","1.7","18.3","25.6","74.4"
"2016-20","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","89,925","44.7","3.0","13.2","36.7","63.3"
"2016-20","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","258,593","17.4","2.2","29.4","48.0","52.0"
"2016-20","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","97,980","38.4","6.9","17.9","33.6","66.4"
"2016-20","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","275,960","26.0","9.5","34.0","19.2","80.8"
"2016-20","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","309,887","18.9","49.6","16.8","6.9","93.1"
"2016-20","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","318,348","19.2","42.1","13.9","19.0","81.0"
"2016-20","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","128,662","4.3","35.3","23.2","33.2","66.8"
"2016-20","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","69,274","6.9","25.3","36.2","29.1","70.9"
"2016-20","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","123,102","11.7","16.9","20.4","48.4","51.6"
"2016-20","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","89,938","18.0","3.3","15.2","61.2","38.8"
"2016-20","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","193,282","6.1","1.4","12.3","78.5","21.5"
"2015-19","Citywide","1","0","-","-","New York City","New York City","8,419,316","14.0","21.8","29.1","32.1","67.9"
"2015-19","Borough","1","1","1","Bronx","Bronx","Bronx","1,435,068","3.6","29.2","56.0","9.1","90.9"
"2015-19","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","2,589,974","11.8","30.0","19.0","36.4","63.6"
"2015-19","Borough","3","1","3","Manhattan","Manhattan","Manhattan","1,631,993","12.1","12.5","25.8","46.9","53.1"
"2015-19","Borough","4","1","4","Queens","Queens","Queens","2,287,388","25.3","17.2","28.0","25.0","75.0"
"2015-19","Borough","5","1","5","Staten Island","Staten Island","Staten Island","474,893","9.2","9.4","18.4","61.0","39.0"
"2015-19","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","93,554","4.1","11.4","44.0","37.5","62.5"
"2015-19","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","205,957","3.9","58.4","26.2","8.7","91.3"
"2015-19","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","265,756","3.8","21.7","65.5","7.0","93.0"
"2015-19","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","301,133","7.8","20.8","53.1","16.0","84.0"
"2015-19","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","215,970","1.3","27.2","68.4","1.7","98.3"
"2015-19","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","216,305","1.1","32.1","63.1","2.1","97.9"
"2015-19","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","140,122","0.5","27.4","68.9","2.1","97.9"
"2015-19","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","139,995","5.2","3.4","21.8","66.7","33.3"
"2015-19","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","259,781","8.5","14.3","15.1","57.3","42.7"
"2015-19","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","335,096","3.0","60.7","14.1","19.3","80.7"
"2015-19","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","192,396","4.0","53.6","36.3","3.8","96.2"
"2015-19","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","119,600","36.3","2.7","43.2","15.9","84.1"
"2015-19","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","324,318","21.9","4.1","12.8","58.5","41.5"
"2015-19","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","297,167","2.9","67.4","10.4","16.8","83.2"
"2015-19","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","207,150","4.7","63.7","9.9","20.1","79.9"
"2015-19","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","204,774","29.1","1.8","16.4","50.2","49.8"
"2015-19","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","289,077","18.5","6.4","12.3","59.4","40.6"
"2015-19","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","220,620","5.5","25.8","41.9","24.5","75.5"
"2015-19","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","268,348","3.2","10.8","64.1","19.9","80.1"
"2015-19","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","182,949","5.6","48.3","25.7","17.2","82.8"
"2015-19","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","112,761","7.3","30.1","46.3","14.2","85.8"
"2015-19","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","218,945","10.0","6.2","16.0","65.3","34.7"
"2015-19","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","215,392","10.7","2.4","9.9","74.2","25.8"
"2015-19","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","156,857","16.6","5.2","15.7","59.4","40.6"
"2015-19","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","135,768","17.4","4.3","8.4","67.2","32.8"
"2015-19","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","82,461","17.8","2.4","7.1","69.0","31.0"
"2015-19","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","186,749","25.2","7.0","20.3","44.9","55.1"
"2015-19","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","61,168","21.7","4.6","9.9","60.0","40.0"
"2015-19","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","202,875","18.4","5.5","24.6","48.5","51.5"
"2015-19","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","454,789","25.9","4.9","52.0","15.3","84.7"
"2015-19","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","253,041","52.9","1.8","17.4","25.6","74.4"
"2015-19","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","88,855","44.4","3.3","11.7","38.6","61.4"
"2015-19","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","262,328","17.4","2.1","28.5","49.3","50.7"
"2015-19","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","100,305","36.9","7.0","17.7","34.9","65.1"
"2015-19","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","280,764","25.4","9.7","34.8","19.6","80.4"
"2015-19","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","312,563","18.6","50.1","17.5","6.7","93.3"
"2015-19","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","317,546","18.5","42.6","14.1","19.7","80.3"
"2015-19","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","128,437","3.5","36.5","24.0","33.5","66.5"
"2015-19","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","69,238","7.4","25.0","36.4","29.2","70.8"
"2015-19","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","122,118","10.8","17.7","21.2","47.7","52.3"
"2015-19","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","89,792","16.7","3.2","15.3","62.4","37.6"
"2015-19","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","193,745","5.4","1.4","11.7","80.1","19.9"
"2014-18","Citywide","1","0","-","-","New York City","New York City","8,443,713","13.8","21.9","29.1","32.1","67.9"
"2014-18","Borough","1","1","1","Bronx","Bronx","Bronx","1,437,872","3.5","29.3","55.9","9.3","90.7"
"2014-18","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","2,600,747","11.7","30.3","19.2","36.2","63.8"
"2014-18","Borough","3","1","3","Manhattan","Manhattan","Manhattan","1,632,480","11.9","12.5","26.0","46.9","53.1"
"2014-18","Borough","4","1","4","Queens","Queens","Queens","2,298,513","25.1","17.2","28.0","25.3","74.7"
"2014-18","Borough","5","1","5","Staten Island","Staten Island","Staten Island","474,101","8.6","9.3","18.3","61.7","38.3"
"2014-18","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","93,256","4.1","11.0","44.5","38.0","62.0"
"2014-18","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","204,989","4.2","57.9","25.9","9.3","90.7"
"2014-18","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","266,339","3.9","22.1","64.7","7.2","92.8"
"2014-18","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","304,148","7.2","20.8","53.0","16.7","83.3"
"2014-18","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","213,665","1.2","27.5","68.3","1.7","98.3"
"2014-18","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","218,094","1.1","32.0","63.3","1.8","98.2"
"2014-18","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","140,964","0.7","27.8","68.7","1.7","98.3"
"2014-18","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","139,116","5.4","3.7","21.7","66.4","33.6"
"2014-18","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","258,295","8.2","14.1","16.1","56.7","43.3"
"2014-18","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","330,489","2.9","63.1","13.8","17.5","82.5"
"2014-18","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","190,632","3.6","53.6","37.4","3.2","96.8"
"2014-18","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","123,245","36.3","2.4","43.7","15.9","84.1"
"2014-18","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","330,597","22.0","4.1","12.6","59.1","40.9"
"2014-18","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","301,650","2.8","67.8","10.5","16.4","83.6"
"2014-18","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","209,241","4.5","64.0","9.4","20.4","79.6"
"2014-18","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","205,749","29.0","1.6","15.8","51.3","48.7"
"2014-18","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","290,239","18.0","6.4","13.3","59.4","40.6"
"2014-18","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","221,494","5.6","26.4","41.8","24.0","76.0"
"2014-18","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","271,606","3.3","11.0","64.5","19.0","81.0"
"2014-18","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","182,658","5.4","49.4","25.4","16.6","83.4"
"2014-18","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","115,340","7.8","29.3","46.9","13.8","86.2"
"2014-18","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","219,326","9.4","6.1","15.9","65.8","34.2"
"2014-18","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","216,195","10.3","2.3","9.7","75.1","24.9"
"2014-18","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","154,362","16.9","5.3","15.3","59.5","40.5"
"2014-18","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","131,713","17.2","3.2","7.5","68.9","31.1"
